Index,recession_score,military_score,pandemic_score
1990-01-31,-0.25296872698387096,-0.15214448173840842,-0.36518001556396484
1990-02-28,-0.2860242597758112,-0.10680448467081244,0.0
1990-03-31,-0.28546765507905136,-0.37429817020893097,-0.9060169458389282
1990-04-30,-0.3443783427324841,-0.36189426481723785,
1990-05-31,-0.1930063830888889,-0.13994029661019644,-0.9162667393684387
1990-06-30,-0.2972219274635762,-0.03263019323348999,0.0
1990-07-31,-0.3257694089241706,0.17133896946907043,-0.2583768665790558
1990-08-31,-0.4364392674751287,-0.2595286461023184,0.0
1990-09-30,-0.36453625094195685,-0.17312576287034628,-0.20700249075889585
1990-10-31,-0.4312352735337423,-0.1813419657945633,-0.3015679518381755
1990-11-30,-0.3692480704848485,-0.21494438195670093,0.0
1990-12-31,-0.3764411704827586,-0.042183557282323425,-0.7778301239013672
1991-01-31,-0.3840572742395437,-0.20708024015232007,0.2132214158773422
1991-02-28,-0.4566926318798077,-0.14596992097002395,-0.5056029160817465
1991-03-31,-0.2639217154232365,-0.07589805964380503,-0.24173472821712494
1991-04-30,-0.4563777221724138,-0.3034861543599297,-0.6797614594300588
1991-05-31,-0.38662381007894736,-0.5191499143838882,
1991-06-30,-0.3928644994864865,-0.4519799888134003,-0.006108805537223788
1991-07-31,-0.2496160729090909,-0.26824635809118097,-0.5545976360638937
1991-08-31,-0.33239193904761904,-0.2054324209690094,0.0
1991-09-30,-0.32476693752,-0.40838514433966744,0.0
1991-10-31,-0.25180958689285715,-0.10980104483090915,
1991-11-30,-0.38068481342857147,-0.5100836008787155,
1991-12-31,-0.46624741307999995,-0.4313872028142214,-0.9596827626228333
1992-01-31,-0.2679244969513678,-0.20366075364026157,-0.7949374616146088
1992-02-29,-0.20634953906049822,-0.32279181021910447,
1992-03-31,-0.3271627105384615,-0.11747233072916667,0.0
1992-04-30,-0.3056258112083333,-0.3750910460948944,0.0
1992-05-31,-0.29558393099999997,-0.43379372358322144,
1992-06-30,-0.3385531496363636,-0.39104810025956893,
1992-07-31,-0.2383540254375,-0.2854103310541673,0.0
1992-08-31,-0.3177698351860465,-0.33350082569652134,-0.465847760438919
1992-09-30,-0.10684199484999998,-0.3038918475310008,0.0
1992-10-31,-0.46446962570588235,-0.3827217764714185,-0.47772202889124554
1992-11-30,-0.23253921054838708,-0.2542011400927668,-0.25031256675720215
1992-12-31,-0.3965232883214286,-0.29178612366799384,
1993-01-31,-0.24347292724277456,-0.37158306025796467,0.0
1993-02-28,-0.20577770937671233,-0.16578802040645055,0.7429718375205994
1993-03-31,-0.175144480525,-0.14916831254959106,0.0
1993-04-30,-0.2568672724868421,-0.3835244901478291,-0.7879386246204376
1993-05-31,-0.21325473013194443,-0.2941181280396201,-0.33669857680797577
1993-06-30,-0.4608921673333334,-0.2850187366658991,-0.35770078003406525
1993-07-31,-0.3109956884680851,-0.3452045932412148,-0.45025473833084106
1993-08-31,-0.37748272,-0.3520626055783239,-0.7841135462125143
1993-09-30,-0.22184639443243243,-0.1346797857965742,-0.20487316449483237
1993-10-31,-0.18846656931707317,-0.379117939207289,-0.38970792293548584
1993-11-30,-0.275359930483871,-0.16482598334550858,-0.7204012870788574
1993-12-31,-0.31901001785,-0.09698850512504578,0.0
1994-01-31,-0.25818609158865247,-0.3526516493998076,-0.4635729789733886
1994-02-28,-0.26084921996825394,-0.2929973602294922,0.0
1994-03-31,-0.2640943615422535,-0.3751581609249115,
1994-04-30,-0.16226232293636364,-0.31986797153949736,0.0
1994-05-31,-0.10031182454285714,-0.2511328671659742,0.0
1994-06-30,-0.32944971905825243,-0.4428088267644246,-0.96037757396698
1994-07-31,-0.18342452541573034,-0.13620628203664506,-0.12552882730960846
1994-08-31,-0.15559968479166666,-0.16982033103704453,0.0
1994-09-30,-0.2475527561666667,-0.32177780683224017,-0.6397664745648702
1994-10-31,-0.1417057085625,-0.18394029140472412,-0.38800861438115436
1994-11-30,-0.14895153059090907,-0.3612011671066284,-0.8941654562950134
1994-12-31,-0.10720632185294118,-0.2007433076699575,0.0
1995-01-31,-0.2755899437118644,-0.11082605024178822,-0.9399539828300476
1995-02-28,-0.3264981533760684,-0.3083835406736894,0.0
1995-03-31,-0.2681269163103448,-0.22417701993669784,-0.9403149485588074
1995-04-30,-0.2465475080263158,-0.31708887550565934,
1995-05-31,-0.36858435951724144,-0.5918328932353428,0.44526660442352295
1995-06-30,-0.40535504489719626,-0.26717309111898596,0.07356074452400208
1995-07-31,-0.2940036588,-0.3586875387915858,
1995-08-31,-0.24851733134210527,-0.16120983524755997,-0.4833378493785858
1995-09-30,-0.26862703616666667,-0.10120133558909099,0.0
1995-10-31,-0.26743813583333337,-0.3103919863700867,-0.2635066906611125
1995-11-30,-0.17981638513333334,-0.019591104984283448,-0.23880638678868613
1995-12-31,-0.20488345081999998,-0.25607313712437946,-0.4701253175735474
1996-01-31,-0.26119723060919536,-0.15296096068162185,-0.23800543944040933
1996-02-29,-0.23524909421875,-0.1899961062840053,-0.6339978575706482
1996-03-31,-0.253041669372093,-0.21982492009798685,-0.43131694197654724
1996-04-30,-0.27739616003571427,-0.3431573808193207,0.0
1996-05-31,-0.25532975798,-0.7194199562072754,-0.4279134273529053
1996-06-30,-0.0984953252051282,-0.2714653213818868,0.6575724482536316
1996-07-31,-0.2997774726849315,-0.05998153345925467,-0.9138640761375428
1996-08-31,-0.07394236066666666,-0.055694305896759035,0.0
1996-09-30,-0.2360832913,-0.14785307261251635,0.0
1996-10-31,-0.04692644558571429,-0.6160281658172607,-0.4216739535331726
