Year,Commodity,Type,value
1998,Coal,Final consumption,25966198.6985255
1998,Coal,Primary production,94148242.9847193
1998,Coal,Transformation,-68446848.2298662
1998,Electricity and heat,Final consumption,52737621.2622235
1998,Electricity and heat,Primary production,11124711.17108
1998,Electricity and heat,Transformation,52317639.89584
1998,Natural Gas,Final consumption,44852501.51289
1998,Natural Gas,Primary production,82058000.962266
1998,Natural Gas,Transformation,-28657971.3427866
1998,Oil,Final consumption,114256630.877338
1998,Oil,Primary production,151027998.42574
1998,Oil,Transformation,-16915471.1110494
1999,Biofuels and waste,Final consumption,29992355.8072967
1999,Biofuels and waste,Primary production,35012653.2659078
1999,Biofuels and waste,Transformation,-4779561.51264033
1999,Coal,Final consumption,23484451.2041801
1999,Coal,Primary production,95029672.8444103
1999,Coal,Transformation,-69881063.4790195
1999,Electricity and heat,Final consumption,54045739.68872
1999,Electricity and heat,Primary production,11379353.4484
1999,Electricity and heat,Transformation,53675098.4018396
1999,Natural Gas,Final consumption,45913064.1406263
1999,Natural Gas,Primary production,84339477.185508
1999,Natural Gas,Transformation,-30317297.8843314
1999,Oil,Final consumption,117227779.825458
1999,Oil,Primary production,150061077.463244
1999,Oil,Transformation,-16155747.8066136
2000,Biofuels and waste,Final consumption,30345637.0167479
2000,Biofuels and waste,Primary production,35404577.2970302
2000,Biofuels and waste,Transformation,-4879474.9427397
2000,Coal,Final consumption,24424265.7612218
2000,Coal,Primary production,95786800.5778572
2000,Coal,Transformation,-72945436.0303061
2000,Electricity and heat,Final consumption,56336872.1552396
2000,Electricity and heat,Primary production,11670092.24208
2000,Electricity and heat,Transformation,56101976.6599208
2000,Natural Gas,Final consumption,47859371.176959
2000,Natural Gas,Primary production,86337642.727044
2000,Natural Gas,Transformation,-30611575.7846442
2000,Oil,Final consumption,119990246.430547
2000,Oil,Primary production,155111072.146039
2000,Oil,Transformation,-16190322.3403222
2001,Biofuels and waste,Final consumption,30209797.3994324
2001,Biofuels and waste,Primary production,35394653.5180398
2001,Biofuels and waste,Transformation,-4989236.06404219
2001,Coal,Final consumption,23920035.8967327
2001,Coal,Primary production,100661231.676141
2001,Coal,Transformation,-73848800.0557114
2001,Electricity and heat,Final consumption,57456001.99044
2001,Electricity and heat,Primary production,11515979.39628
2001,Electricity and heat,Transformation,57002323.9753212
2001,Natural Gas,Final consumption,46467939.9934989
2001,Natural Gas,Primary production,88054902.5865939
2001,Natural Gas,Transformation,-32661380.5835157
2001,Oil,Final consumption,121708923.076988
2001,Oil,Primary production,155668770.342647
2001,Oil,Transformation,-15659972.2593649
2002,Biofuels and waste,Final consumption,31382091.4303016
2002,Biofuels and waste,Primary production,36941184.4425046
2002,Biofuels and waste,Transformation,-5313621.12415553
2002,Coal,Final consumption,25095505.236647
2002,Coal,Primary production,104011980.123213
2002,Coal,Transformation,-77534579.7074816
2002,Electricity and heat,Final consumption,58331809.5046392
2002,Electricity and heat,Primary production,11858198.67936
2002,Electricity and heat,Transformation,58938047.0568812
2002,Natural Gas,Final consumption,47023459.5400326
2002,Natural Gas,Primary production,89880865.4551689
2002,Natural Gas,Transformation,-33769251.6788898
2002,Oil,Final consumption,123180039.263894
2002,Oil,Primary production,154952324.318362
2002,Oil,Transformation,-14086250.2214282
