date,Year,Month,Production,Consumption,Import
2019-09-01,2019,September,2490.94413141741,5289.17260147993,2798.22847006252
2019-10-01,2019,October,2569.334515826,5395.75063799064,2826.41612216464
2019-11-01,2019,November,2495.780861126,5084.38700238835,2588.60614126235
2019-12-01,2019,December,2539.19770898,5295.01620687452,2755.81849789452
2020-01-01,2020,January,2529.955098105,5338.955098105,2809.0
2020-02-01,2020,February,2257.22627086,5777.56433154667,3520.33806068667
2020-03-01,2020,March,2326.943920337,5296.80223902884,2969.85831869184
2020-04-01,2020,April,2066.072704943,3706.1688431112,1640.0946024102
2020-05-01,2020,May,2215.065128282,4898.15839523787,2683.09129554387
2020-06-01,2020,June,2250.334434035,5206.43618810533,2956.10022810533
2020-07-01,2020,July,2369.495535629,5362.47796145056,2992.98242582156
2020-08-01,2020,August,2363.248832402,5355.89737852915,2992.42273112715
2020-09-01,2020,September,2227.733482,4944.1186314432,2716.3851494432
2020-10-01,2020,October,2347.808908524,5793.91737265661,3446.10846413261
2020-11-01,2020,November,2262.971309378,5075.0463623227,2812.0750529447
2020-12-01,2020,December,2354.6934329,5102.36660192653,2747.67316902653
2021-01-01,2021,January,2477.224109817,5168.822528542,2691.598418725
2021-02-01,2021,February,2234.994412818,4754.59579320371,2519.59998038571
2021-03-01,2021,March,2613.880790094,5447.11559777463,2833.23480768063
2021-04-01,2021,April,2583.345306493,5430.59328427598,2847.24797778298
2021-05-01,2021,May,2660.260501019,5285.33437075412,2625.07386973512
2021-06-01,2021,June,2713.205567573,5422.28636519439,2709.08079762139
2021-07-01,2021,July,2819.496799622,5463.32118644287,2643.82438682086
2021-08-01,2021,August,2853.48233905,5773.45101324135,2919.96867419135
2021-09-01,2021,September,2839.746415972,5666.58754044017,2826.84112446817
2021-10-01,2021,October,2953.888805296,5384.91548729595,2431.02668199994
2021-11-01,2021,November,2798.316205065,5267.12071146667,2468.80450640167
2021-12-01,2021,December,2814.426638479,5375.330722154,2560.904083675
2022-01-01,2022,January,2767.298241499,4862.742037699,2095.4437962
2022-02-01,2022,February,2515.073453196,4538.67292748012,2023.59947428412
2022-03-01,2022,March,2812.693340566,5436.9803039505,2624.2869633845
2022-04-01,2022,April,2747.743712665,5162.09275012574,2414.34903746074
2022-05-01,2022,May,2846.180685239,5380.62781980076,2534.44713456176
2022-06-01,2022,June,2746.962171856,5198.05945027496,2451.09727841896
