,series_id,name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INTL.26-4-SOM-BCF.A,"Dry natural gas exports, Somalia, Annual",SOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-SPM-BCF.A,"Dry natural gas exports, Saint Pierre and Miquelon, Annual",SPM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-HND-BCF.A,"Dry natural gas exports, Honduras, Annual",HND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-HRV-BCF.A,"Dry natural gas exports, Croatia, Annual",HRV,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,6.4,5.5,3.6,13,15,13,13,6.1,4,1.6,1.2,
0,INTL.26-4-HTI-BCF.A,"Dry natural gas exports, Haiti, Annual",HTI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-ABW-BCF.A,"Dry natural gas exports, Aruba, Annual",ABW,--,--,--,--,--,--,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-AFG-BCF.A,"Dry natural gas exports, Afghanistan, Annual",AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-AGO-BCF.A,"Dry natural gas exports, Angola, Annual",AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,32,141,187,208,,
0,INTL.26-4-ALB-BCF.A,"Dry natural gas exports, Albania, Annual",ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-ARE-BCF.A,"Dry natural gas exports, United Arab Emirates, Annual",ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,126,121,139,150,248,253,276,252,266,245,250,253,251,264,252,251,269,267,248,270,451,268,261,285,274,273,265,266,271,,
